abojo,down,adv
ahí,there,adv
alguien,someone,pro
alto,high,adj
alto,loud,adj
amar,to love,verb
amor,love,noun
antes,before,prep
arriba,up,adv
años,years old,noun
bajo,low,adj
bajo,low,adv
beber,to drink,verb
bicicleta,bicycle,noun
bien,good,adv
bien,nice,adj
brillante,bright,adj
brillantemente,bright,adv
bueno,good,adj
caliente,hot,adj
caminar,to walk,verb
camino,road,noun
casa,house,noun
casa,home,noun
chica,girl,noun
chico,boy,noun
coche,car,noun
comer,to eat,verb
correr,to run,verb
cosas,things,noun
creo,I think,verb
decir,to say,verb
despacio,slow,adv
diente,tooth,noun
dios,god,noun
dormir,to sleep,verb
dos,two,noun
día,day,noun
dónde,where,pro
ella,she,pro
entonces,then,adv
entrar,to enter,verb
esa,that,pro
escuela,school,noun
estaba,was,verb
estudiar,to study,verb
están,are,verb
favor,favor,noun
feo,ugly,adj
flor,flower,noun
frio,cold,adj
fuerte,loud,adv
gato,cat,noun
gordo,fat,adj
graciosamente,gracefully,adv
grande,big,adj
guapo,handsome,adj
gustar,to like,verb
hace,ago,adj
has,searched,verb
hasta,up to,prep
hermoso,beautiful,adj
herramienta,tool,noun
hola,hello,int
hombre,man,noun
ir,go,verb
juego,game,noun
jugar,to play,verb
leche,milk,noun
leer,to read,verb
lento,slow,adv
libro,book,noun
ligero,light,adj
luna,moon,noun
luz,light,noun
malo,bad,adj
mano,hand,noun
me,me,pro
mejor,best,adj
mis,my,pro
mono,monkey,noun
mosca,fly,noun
mucho,much,adj
mujer,woman,noun
mí,my,pro
ni,neither,con
no,no,particle
noche,night,noun
nunca,never,adv
oh,oh,int
oscurecer,to dim,verb
oscuro,dim,adj
pan,bread,noun
perro,dog,noun
persona,person,noun
pesado,heavy,adj
poco,little,adj
porque,because,pro
puedes,can,verb
quieres,want,verb
rapidamente,fast,adv
rapido,fast,adj
raton,mouse,noun
sabes,you know,verb
saltar,to jump,verb
sentar,to sit,verb
si,yes,particle
siempre,always,adv
siento,I feel,verb
silla,chair,noun
sin,without,adv
sobre,about,prep
sol,sun,noun
sueño,sleep,noun
sus,their,pro
también,also,adv
tan,so,adv
taza,cup,noun
tenemos,we have,verb
ti,you,pro
tiempo,time,noun
tonto,silly,adj
trabajar,to work,verb
trabajo,work,noun
uno,one,noun
va,goes,verb
ver,look,verb
verdad,truth,noun
vida,life,noun
volar,to fly,verb
yo,I,pro
usted,you,pro
él,he,pro
